id,Name,Icon,Skill,Min Level,Max Level,Quantity,Gold,Iron Ingot,Wood,Leather,Additional,Copy Pasta
r_Arrow_01,Arrow,http://darkfallunholywars.info/images/icons/crafting/arrows_01.png,Bowyer,1,10,10,1,1,2,0,,10 Arrow: 1 Gold; 1 Iron Ingot; 2 Wood
r_Bow_p01_r01,Crude Militant Bow,http://darkfallunholywars.info/images/icons/crafting/crude_militant_bow.png,Bowyer,1,25,1,1,1,2,1,,1 Crude Militant Bow: 1 Gold; 2 Wood; 1 Iron Ingot; 1 Leather
r_Bow_p01_r02,Common Militant Bow,http://darkfallunholywars.info/images/icons/crafting/common_militant_bow.png,Bowyer,25,50,1,8,1,4,1,,1 Common Militant Bow: 8 Gold; 4 Wood; 1 Iron Ingot; 1 Leather
r_Bow_p01_r03,Sturdy Militant Bow,http://darkfallunholywars.info/images/icons/crafting/sturdy_militant_bow.png,Bowyer,50,75,1,25,1,8,2,,1 Sturdy Militant Bow: 25 Gold; 8 Wood; 1 Iron Ingot; 2 Leather
r_Bow_p01_r04,Superior Militant Bow,http://darkfallunholywars.info/images/icons/crafting/superior_militant_bow.png,Bowyer,75,100,1,50,1,16,2,,1 Superior Militant Bow: 50 Gold; 16 Wood; 1 Iron Ingot; 2 Leather
r_Bow_p01_r05,Selentine Militant Bow,http://darkfallunholywars.info/images/icons/crafting/selentine_militant_bow.png,Bowyer Mastery,1,25,1,95,2,30,3,3 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot,1 Selentine Militant Bow: 95 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 3 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot
r_Bow_p01_r06,Veilron Militant Bow,http://darkfallunholywars.info/images/icons/crafting/veilron_militant_bow.png,Bowyer Mastery,25,50,1,155,2,30,3,2 Veilron Wood; 1 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot,1 Veilron Militant Bow: 155 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Veilron Wood; 1 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot
r_Bow_p01_r07,Neithal Militant Bow,http://darkfallunholywars.info/images/icons/crafting/neithal_militant_bow.png,Bowyer Mastery,50,75,1,235,2,30,3,2 Neithal Wood; 1 Veilron Wood; 1 Veilron Leather; 1 Veilron Ingot,1 Neithal Militant Bow: 235 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Neithal Wood; 1 Veilron Wood; 1 Veilron Leather; 1 Veilron Ingot
r_Bow_p01_r08,Leenspar Militant Bow,http://darkfallunholywars.info/images/icons/crafting/leenspar_militant_bow.png,Bowyer Mastery,75,100,1,340,2,30,3,2 Leenspar Wood; 1 Neithal Wood; 1 Neithal Leather; 1 Neithal Ingot,1 Leenspar Militant Bow: 340 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Leenspar Wood; 1 Neithal Wood; 1 Neithal Leather; 1 Neithal Ingot
r_Bow_p01_r09,Theyril Militant Bow,http://darkfallunholywars.info/images/icons/crafting/theyril_militant_bow.png,Bowyer Mastery,100,125,1,475,2,30,3,2 Theyril Wood; 1 Leenspar Wood; 1 Leenspar Leather; 1 Leenspar Ingot; 1 Primal Marrow (Q5); 1 Primal Eye (Q5); 1 Ancient Sinew,1 Theyril Militant Bow: 475 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Theyril Wood; 1 Leenspar Wood; 1 Leenspar Leather; 1 Leenspar Ingot; 1 Primal Marrow (Q5); 1 Primal Eye (Q5); 1 Ancient Sinew
r_Bow_p02_r01,Crude Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/crude_stoic_bow.png,Bowyer,1,25,1,1,1,2,1,,1 Crude Stoic Bow: 1 Gold; 2 Wood; 1 Iron Ingot; 1 Leather
r_Bow_p02_r02,Common Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/common_stoic_bow.png,Bowyer,25,50,1,8,1,4,1,,1 Common Stoic Bow: 8 Gold; 4 Wood; 1 Iron Ingot; 1 Leather
r_Bow_p02_r03,Sturdy Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/sturdy_stoic_bow.png,Bowyer,50,75,1,25,1,8,2,,1 Sturdy Stoic Bow: 25 Gold; 8 Wood; 1 Iron Ingot; 2 Leather
r_Bow_p02_r04,Superior Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/superior_stoic_bow.png,Bowyer,75,100,1,50,1,16,2,,1 Superior Stoic Bow: 50 Gold; 16 Wood; 1 Iron Ingot; 2 Leather
r_Bow_p02_r05,Selentine Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/selentine_stoic_bow.png,Bowyer Mastery,1,25,1,95,2,30,3,3 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot,1 Selentine Stoic Bow: 95 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 3 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot
r_Bow_p02_r06,Veilron Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/veilron_stoic_bow.png,Bowyer Mastery,25,50,1,155,2,30,3,2 Veilron Wood; 1 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot,1 Veilron Stoic Bow: 155 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Veilron Wood; 1 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot
r_Bow_p02_r07,Neithal Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/neithal_stoic_bow.png,Bowyer Mastery,50,75,1,235,2,30,3,2 Neithal Wood; 1 Veilron Wood; 1 Veilron Leather; 1 Veilron Ingot,1 Neithal Stoic Bow: 235 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Neithal Wood; 1 Veilron Wood; 1 Veilron Leather; 1 Veilron Ingot
r_Bow_p02_r08,Leenspar Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/leenspar_stoic_bow.png,Bowyer Mastery,75,100,1,340,2,30,3,2 Leenspar Wood; 1 Neithal Wood; 1 Neithal Leather; 1 Neithal Ingot,1 Leenspar Stoic Bow: 340 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Leenspar Wood; 1 Neithal Wood; 1 Neithal Leather; 1 Neithal Ingot
r_Bow_p02_r09,Theyril Stoic Bow,http://darkfallunholywars.info/images/icons/crafting/theyril_stoic_bow.png,Bowyer Mastery,100,125,1,475,2,30,3,2 Theyril Wood; 1 Leenspar Wood; 1 Leenspar Leather; 1 Leenspar Ingot; 1 Primal Marrow (Q5); 1 Primal Eye (Q5); 1 Ancient Sinew,1 Theyril Stoic Bow: 475 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Theyril Wood; 1 Leenspar Wood; 1 Leenspar Leather; 1 Leenspar Ingot; 1 Primal Marrow (Q5); 1 Primal Eye (Q5); 1 Ancient Sinew
r_Bow_p03_r01,Crude Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/crude_barbaric_bow.png,Bowyer,1,25,1,1,1,2,1,,1 Crude Barbaric Bow: 1 Gold; 2 Wood; 1 Iron Ingot; 1 Leather
r_Bow_p03_r02,Common Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/common_barbaric_bow.png,Bowyer,25,50,1,8,1,4,1,,1 Common Barbaric Bow: 8 Gold; 4 Wood; 1 Iron Ingot; 1 Leather
r_Bow_p03_r03,Sturdy Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/sturdy_barbaric_bow.png,Bowyer,50,75,1,25,1,8,2,,1 Sturdy Barbaric Bow: 25 Gold; 8 Wood; 1 Iron Ingot; 2 Leather
r_Bow_p03_r04,Superior Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/superior_barbaric_bow.png,Bowyer,75,100,1,50,1,16,2,,1 Superior Barbaric Bow: 50 Gold; 16 Wood; 1 Iron Ingot; 2 Leather
r_Bow_p03_r05,Selentine Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/selentine_barbaric_bow.png,Bowyer Mastery,1,25,1,95,2,30,3,3 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot,1 Selentine Barbaric Bow: 95 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 3 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot
r_Bow_p03_r06,Veilron Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/veilron_barbaric_bow.png,Bowyer Mastery,25,50,1,155,2,30,3,2 Veilron Wood; 1 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot,1 Veilron Barbaric Bow: 155 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Veilron Wood; 1 Selentine Wood; 1 Selentine Leather; 1 Selentine Ingot
r_Bow_p03_r07,Neithal Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/neithal_barbaric_bow.png,Bowyer Mastery,50,75,1,235,2,30,3,2 Neithal Wood; 1 Veilron Wood; 1 Veilron Leather; 1 Veilron Ingot,1 Neithal Barbaric Bow: 235 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Neithal Wood; 1 Veilron Wood; 1 Veilron Leather; 1 Veilron Ingot
r_Bow_p03_r08,Leenspar Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/leenspar_barbaric_bow.png,Bowyer Mastery,75,100,1,340,2,30,3,2 Leenspar Wood; 1 Neithal Wood; 1 Neithal Leather; 1 Neithal Ingot,1 Leenspar Barbaric Bow: 340 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Leenspar Wood; 1 Neithal Wood; 1 Neithal Leather; 1 Neithal Ingot
r_Bow_p03_r09,Theyril Barbaric Bow,http://darkfallunholywars.info/images/icons/crafting/theyril_barbaric_bow.png,Bowyer Mastery,100,125,1,475,2,30,3,2 Theyril Wood; 1 Leenspar Wood; 1 Leenspar Leather; 1 Leenspar Ingot; 1 Primal Marrow (Q5); 1 Primal Eye (Q5); 1 Ancient Sinew,1 Theyril Barbaric Bow: 475 Gold; 30 Wood; 2 Iron Ingot; 3 Leather; 2 Theyril Wood; 1 Leenspar Wood; 1 Leenspar Leather; 1 Leenspar Ingot; 1 Primal Marrow (Q5); 1 Primal Eye (Q5); 1 Ancient Sinew
