id,Name,Icon,Skill,Min Level,Max Level,Quantity,Gold,Iron Ingot,Wood,Leather,Additional,Copy Pasta
r_Staff_p01_r01,Crude Militant Staff,http://darkfallunholywars.info/images/icons/crafting/crude_militant_staff.png,Staffcrafting,1,25,1,1,1,2,1,,1 Crude Militant Staff: 1 Gold; 1 Iron Ingot; 2 Wood; 1 Leather
r_Staff_p01_r02,Common Militant Staff,http://darkfallunholywars.info/images/icons/crafting/common_militant_staff.png,Staffcrafting,25,50,1,8,2,4,2,,1 Common Militant Staff: 8 Gold; 2 Iron Ingot; 4 Wood; 2 Leather
r_Staff_p01_r03,Sturdy Militant Staff,http://darkfallunholywars.info/images/icons/crafting/sturdy_militant_staff.png,Staffcrafting,50,75,1,25,4,8,3,,1 Sturdy Militant Staff: 25 Gold; 4 Iron Ingot; 8 Wood; 3 Leather
r_Staff_p01_r04,Superior Militant Staff,http://darkfallunholywars.info/images/icons/crafting/superior_militant_staff.png,Staffcrafting,75,100,1,50,6,16,4,,1 Superior Militant Staff: 50 Gold; 6 Iron Ingot; 16 Wood; 4 Leather
r_Staff_p01_r05,Selentine Militant Staff,http://darkfallunholywars.info/images/icons/crafting/selentine_militant_staff.png,Staffcrafting Mastery,1,25,1,95,8,30,5,2 Selentine Ingot; 2 Selentine Wood; 1 Selentine Leather,1 Selentine Militant Staff: 95 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 2 Selentine Ingot; 2 Selentine Wood; 1 Selentine Leather
r_Staff_p01_r06,Veilron Militant Staff,http://darkfallunholywars.info/images/icons/crafting/veilron_militant_staff.png,Staffcrafting Mastery,25,50,1,155,8,30,5,1 Veilron Ingot; 1 Veilron Wood; 2 Selentine Wood; 1 Selentine Leather,1 Veilron Militant Staff: 155 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Veilron Ingot; 1 Veilron Wood; 2 Selentine Wood; 1 Selentine Leather
r_Staff_p01_r07,Neithal Militant Staff,http://darkfallunholywars.info/images/icons/crafting/neithal_militant_staff.png,Staffcrafting Mastery,50,75,1,235,8,30,5,1 Neithal Ingot; 1 Neithal Wood; 2 Veilron Wood; 1 Veilron Leather,1 Neithal Militant Staff: 235 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Neithal Ingot; 1 Neithal Wood; 2 Veilron Wood; 1 Veilron Leather
r_Staff_p01_r08,Leenspar Militant Staff,http://darkfallunholywars.info/images/icons/crafting/leenspar_militant_staff.png,Staffcrafting Mastery,75,100,1,340,8,30,5,1 Leenspar Ingot; 1 Leenspar Wood; 2 Neithal Wood; 1 Neithal Leather,1 Leenspar Militant Staff: 340 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Leenspar Ingot; 1 Leenspar Wood; 2 Neithal Wood; 1 Neithal Leather
r_Staff_p01_r09,Theyril Militant Staff,http://darkfallunholywars.info/images/icons/crafting/theyril_militant_staff.png,Staffcrafting Mastery,100,125,1,475,8,30,5,1 Theyril Ingot; 1 Theyril Wood; 2 Leenspar Wood; 1 Leenspar Leather; 1 Primal Mana flakes (Q5); 1 Primal Anima (Q5); 1 Crystalline Scale,1 Theyril Militant Staff: 475 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Theyril Ingot; 1 Theyril Wood; 2 Leenspar Wood; 1 Leenspar Leather; 1 Primal Mana flakes (Q5); 1 Primal Anima (Q5); 1 Crystalline Scale
r_Staff_p02_r01,Crude Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/crude_stoic_staff.png,Staffcrafting,1,25,1,1,1,2,1,,1 Crude Stoic Staff: 1 Gold; 1 Iron Ingot; 2 Wood; 1 Leather
r_Staff_p02_r02,Common Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/common_stoic_staff.png,Staffcrafting,25,50,1,8,2,4,2,,1 Common Stoic Staff: 8 Gold; 2 Iron Ingot; 4 Wood; 2 Leather
r_Staff_p02_r03,Sturdy Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/sturdy_stoic_staff.png,Staffcrafting,50,75,1,25,4,8,3,,1 Sturdy Stoic Staff: 25 Gold; 4 Iron Ingot; 8 Wood; 3 Leather
r_Staff_p02_r04,Superior Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/superior_stoic_staff.png,Staffcrafting,75,100,1,50,6,16,4,,1 Superior Stoic Staff: 50 Gold; 6 Iron Ingot; 16 Wood; 4 Leather
r_Staff_p02_r05,Selentine Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/selentine_stoic_staff.png,Staffcrafting Mastery,1,25,1,95,8,30,5,2 Selentine Ingot; 2 Selentine Wood; 1 Selentine Leather,1 Selentine Stoic Staff: 95 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 2 Selentine Ingot; 2 Selentine Wood; 1 Selentine Leather
r_Staff_p02_r06,Veilron Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/veilron_stoic_staff.png,Staffcrafting Mastery,25,50,1,155,8,30,5,1 Veilron Ingot; 1 Veilron Wood; 2 Selentine Wood; 1 Selentine Leather,1 Veilron Stoic Staff: 155 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Veilron Ingot; 1 Veilron Wood; 2 Selentine Wood; 1 Selentine Leather
r_Staff_p02_r07,Neithal Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/neithal_stoic_staff.png,Staffcrafting Mastery,50,75,1,235,8,30,5,1 Neithal Ingot; 1 Neithal Wood; 2 Veilron Wood; 1 Veilron Leather,1 Neithal Stoic Staff: 235 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Neithal Ingot; 1 Neithal Wood; 2 Veilron Wood; 1 Veilron Leather
r_Staff_p02_r08,Leenspar Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/leenspar_stoic_staff.png,Staffcrafting Mastery,75,100,1,340,8,30,5,1 Leenspar Ingot; 1 Leenspar Wood; 2 Neithal Wood; 1 Neithal Leather,1 Leenspar Stoic Staff: 340 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Leenspar Ingot; 1 Leenspar Wood; 2 Neithal Wood; 1 Neithal Leather
r_Staff_p02_r09,Theyril Stoic Staff,http://darkfallunholywars.info/images/icons/crafting/theyril_stoic_staff.png,Staffcrafting Mastery,100,125,1,475,8,30,5,1 Theyril Ingot; 1 Theyril Wood; 2 Leenspar Wood; 1 Leenspar Leather; 1 Primal Mana flakes (Q5); 1 Primal Anima (Q5); 1 Crystalline Scale,1 Theyril Stoic Staff: 475 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Theyril Ingot; 1 Theyril Wood; 2 Leenspar Wood; 1 Leenspar Leather; 1 Primal Mana flakes (Q5); 1 Primal Anima (Q5); 1 Crystalline Scale
r_Staff_p03_r01,Crude Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/crude_barbaric_staff.png,Staffcrafting,1,25,1,1,1,2,1,,1 Crude Barbaric Staff: 1 Gold; 1 Iron Ingot; 2 Wood; 1 Leather
r_Staff_p03_r02,Common Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/common_barbaric_staff.png,Staffcrafting,25,50,1,8,2,4,2,,1 Common Barbaric Staff: 8 Gold; 2 Iron Ingot; 4 Wood; 2 Leather
r_Staff_p03_r03,Sturdy Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/sturdy_barbaric_staff.png,Staffcrafting,50,75,1,25,4,8,3,,1 Sturdy Barbaric Staff: 25 Gold; 4 Iron Ingot; 8 Wood; 3 Leather
r_Staff_p03_r04,Superior Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/superior_barbaric_staff.png,Staffcrafting,75,100,1,50,6,16,4,,1 Superior Barbaric Staff: 50 Gold; 6 Iron Ingot; 16 Wood; 4 Leather
r_Staff_p03_r05,Selentine Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/selentine_barbaric_staff.png,Staffcrafting Mastery,1,25,1,95,8,30,5,2 Selentine Ingot; 2 Selentine Wood; 1 Selentine Leather,1 Selentine Barbaric Staff: 95 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 2 Selentine Ingot; 2 Selentine Wood; 1 Selentine Leather
r_Staff_p03_r06,Veilron Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/veilron_barbaric_staff.png,Staffcrafting Mastery,25,50,1,155,8,30,5,1 Veilron Ingot; 1 Veilron Wood; 2 Selentine Wood; 1 Selentine Leather,1 Veilron Barbaric Staff: 155 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Veilron Ingot; 1 Veilron Wood; 2 Selentine Wood; 1 Selentine Leather
r_Staff_p03_r07,Neithal Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/neithal_barbaric_staff.png,Staffcrafting Mastery,50,75,1,235,8,30,5,1 Neithal Ingot; 1 Neithal Wood; 2 Veilron Wood; 1 Veilron Leather,1 Neithal Barbaric Staff: 235 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Neithal Ingot; 1 Neithal Wood; 2 Veilron Wood; 1 Veilron Leather
r_Staff_p03_r08,Leenspar Barbaric Staff,http://darkfallunholywars.info/images/icons/crafting/leenspar_barbaric_staff.png,Staffcrafting Mastery,75,100,1,340,8,30,5,1 Leenspar Ingot; 1 Leenspar Wood; 2 Neithal Wood; 1 Neithal Leather,1 Leenspar Barbaric Staff: 340 Gold; 8 Iron Ingot; 30 Wood; 5 Leather; 1 Leenspar Ingot; 1 Leenspar Wood; 2 Neithal Wood; 1 Neithal Leather
